iter	Passed	Remaining
0	1	195
1	3	178
2	6	198
3	8	213
4	11	216
5	13	213
6	15	205
7	16	188
8	18	184
9	20	180
10	21	176
11	23	174
12	25	169
13	27	166
14	28	163
15	30	160
16	32	156
17	33	152
18	34	146
19	35	142
20	36	138
21	38	135
22	38	129
23	39	125
24	40	122
25	41	118
26	42	116
27	44	113
28	45	111
29	46	108
30	47	105
31	48	103
32	49	100
33	50	97
34	51	95
35	52	93
36	53	91
37	54	89
38	55	86
39	55	83
40	56	81
41	58	80
42	58	78
43	60	76
44	61	74
45	62	72
46	63	71
47	64	69
48	65	68
49	66	66
50	67	64
51	68	63
52	69	61
53	70	60
54	71	58
55	73	57
56	73	55
57	74	54
58	76	52
59	77	51
60	78	49
61	79	48
62	80	47
63	81	45
64	82	44
65	83	43
66	84	41
67	85	40
68	87	39
69	88	37
70	89	36
71	90	35
72	91	33
73	93	32
74	94	31
75	95	30
76	96	28
77	97	27
78	99	26
79	100	25
80	101	23
81	102	22
82	103	21
83	105	20
84	106	18
85	107	17
86	109	16
87	110	15
88	111	13
89	112	12
90	113	11
91	114	9
92	115	8
93	116	7
94	117	6
95	119	4
96	120	3
97	122	2
98	123	1
99	124	0
